date,time,datetime,region,indicator,importance,prev,forecast,actual,tf_category
2019-02-15 00:00:00,09:30,2019-02-15 09:30:00,中国,1月CPI:同比(%),重要,1.9,1.83,1.7,inflation
2019-02-15 00:00:00,15:02,2019-02-15 15:02:00,中国,1月新增人民币贷款(亿元),重要,10800.0,29872.73,32300.0,credit
2019-02-15 00:00:00,15:02,2019-02-15 15:02:00,中国,1月M1:同比(%),重要,1.5,2.25,0.4,credit
2019-02-15 00:00:00,15:02,2019-02-15 15:02:00,中国,1月M0:同比(%),重要,3.6,,17.2,credit
2019-02-15 00:00:00,15:02,2019-02-15 15:02:00,中国,1月M2:同比(%),重要,8.1,8.21,8.4,credit
2019-02-15 00:00:00,15:02,2019-02-15 15:02:00,中国,1月社会融资规模:当月值(亿元),重要,19311.17,35100.0,46791.14,credit
2019-02-15 00:00:00,15:02,2019-02-15 15:02:00,中国,1月社会融资规模存量:同比(%),重要,10.26,10.0,10.85,credit
2019-02-28 00:00:00,09:00,2019-02-28 09:00:00,中国,2月官方制造业PMI(%),重要,49.5,49.2,49.2,pmi
2019-03-09 00:00:00,09:30,2019-03-09 09:30:00,中国,2月PPI:同比(%),重要,0.1,0.23,0.1,inflation
2019-03-09 00:00:00,09:30,2019-03-09 09:30:00,中国,2月CPI:同比(%),重要,1.7,1.35,1.5,inflation
2019-03-10 00:00:00,09:00,2019-03-10 09:00:00,中国,2月新增人民币贷款(亿元),重要,32300.0,9550.0,8858.0,credit
2019-03-10 00:00:00,09:00,2019-03-10 09:00:00,中国,2月M1:同比(%),重要,0.4,1.83,2.0,credit
2019-03-10 00:00:00,09:00,2019-03-10 09:00:00,中国,2月M0:同比(%),重要,17.2,,-2.4,credit
2019-03-10 00:00:00,09:00,2019-03-10 09:00:00,中国,2月M2:同比(%),重要,8.4,8.41,8.0,credit
2019-03-10 00:00:00,09:00,2019-03-10 09:00:00,中国,2月社会融资规模:当月值(亿元),重要,46791.14,13462.5,9665.13,credit
2019-03-10 00:00:00,09:00,2019-03-10 09:00:00,中国,2月社会融资规模存量:同比(%),重要,10.85,10.4,10.65,credit
2019-03-31 00:00:00,09:00,2019-03-31 09:00:00,中国,3月官方制造业PMI(%),重要,49.2,50.0,50.5,pmi
2019-04-11 00:00:00,09:30,2019-04-11 09:30:00,中国,3月PPI:同比(%),重要,0.1,0.46,0.4,inflation
2019-04-11 00:00:00,09:30,2019-04-11 09:30:00,中国,3月CPI:同比(%),重要,1.5,2.33,2.3,inflation
2019-04-12 00:00:00,16:00,2019-04-12 16:00:00,中国,3月新增人民币贷款(亿元),重要,8858.0,12736.61,16900.0,credit
2019-04-12 00:00:00,16:00,2019-04-12 16:00:00,中国,3月M1:同比(%),重要,2.0,3.5,4.6,credit
2019-04-12 00:00:00,16:00,2019-04-12 16:00:00,中国,3月M0:同比(%),重要,-2.4,,3.1,credit
2019-04-12 00:00:00,16:00,2019-04-12 16:00:00,中国,3月M2:同比(%),重要,8.0,8.21,8.6,credit
2019-04-12 00:00:00,16:00,2019-04-12 16:00:00,中国,3月社会融资规模:当月值(亿元),重要,9665.13,18444.44,29602.34,credit
2019-04-12 00:00:00,16:00,2019-04-12 16:00:00,中国,3月社会融资规模存量:同比(%),重要,10.65,10.13,11.16,credit
2019-04-17 00:00:00,10:00,2019-04-17 10:00:00,中国,第一季度GDP:当季同比(%),重要,6.5,6.32,6.4,growth
2019-04-30 00:00:00,09:00,2019-04-30 09:00:00,中国,4月官方制造业PMI(%),重要,50.5,50.65,50.1,pmi
